Status	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-CONVAL1-a.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-CONVAL1-b.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-CONVAL1-c.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-CONVAL1-d.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-CONVAL1-e.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-CONVAL1-f.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-CONVAL1-g.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-CONVAL1-h.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-CONVAL1-i.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-CONVAL1-j.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-FATAL2-a.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-FATAL2-b.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-FATAL2-c.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-FATAL2-d.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-FATAL2-e.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-FATAL2-f.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-FATAL2-g.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-FATAL2-h.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-FATAL2-i.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-FATAL2-j.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-SURVIVE1-a.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-SURVIVE1-b.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-SURVIVE1-c.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-SURVIVE1-d.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-SURVIVE1-e.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-SURVIVE1-f.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-SURVIVE1-g.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-SURVIVE1-h.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-SURVIVE1-i.bam	/ExpOut/Hsapiens_EBOV_subset/Out/Rep/Bams/Hsapiens-SURVIVE1-j.bam
Assigned	94686057	176913320	260688619	123578226	156618792	113173804	162083921	121767915	147529285	127049715	97590310	124707011	180833274	130517611	205595171	196952933	77954945	49662308	17223084	116762916	120786379	181538747	204964721	50622600	102140380	240510481	267594637	208951474	111197048	191663308
Unassigned_Unmapped	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Read_Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Singleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MappingQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MultiMapping	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Secondary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NonSplit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NoFeatures	24052575	43450107	67518477	32898394	40521349	30292569	38705873	31014340	37035889	33397170	23387150	29245586	67377702	38837953	53192592	57798039	22174940	12968858	4542781	33176581	31597404	50001130	55443683	13443174	29272966	63491207	69565367	51383440	27149356	45300955
Unassigned_Overlapping_Length	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Ambiguity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
