"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC36A2",3220.14989720136,8.65165044507707,0.640685703148369,14.968176349887,1.18527010300407e-50,2.58621182696593e-46
"RBMY1A1",4284.38022007594,8.85665428900187,0.675850471389601,14.9429285275117,1.73193492514042e-50,2.58621182696593e-46
"RBMY1D",4450.13676956214,8.86132590309538,0.677749545172747,14.8534923514712,6.60368919321585e-50,6.57397259184637e-46
"LOC107984901",3241.0664176161,8.68270326617371,0.657515898005563,14.7017108697336,6.28514422832799e-49,4.69264580947538e-45
"LOC102724542",8535.80631187536,7.53707511372633,0.514211967887471,14.6714541707643,9.82173494842136e-49,5.86652228469208e-45
"MNX1",1023.98973017425,8.86929788271569,0.632174712726528,14.6588170732624,1.18316294522499e-48,5.88919355985739e-45
"LINC01428",3627.73686010977,8.5678661742092,0.655664618570548,14.4183896075808,3.96485947665721e-47,1.69157897529097e-43
"CRMP1",2922.75926789599,8.2608881034036,0.615636347547534,14.2938253370779,2.39106277526277e-46,8.92613622290282e-43
"LOC105376219",1702.08385537875,7.7973719757896,0.550694810270381,14.2306427974569,5.91356966745937e-46,1.96231953465194e-42
"PRSS56",2223.02120940723,8.57530019389461,0.673301621406288,14.1939271105876,9.99037238337241e-46,2.98362471229417e-42
"LOC101929705",830.418927150113,7.59265873962208,0.541163498111841,14.1753924672168,1.30113684233325e-45,3.53258652693478e-42
"LINC00840",1402.10676826776,8.48931731738093,0.642420318830927,13.9686906908216,2.42035350970663e-44,6.02365479728237e-41
"MYMX",1195.20198445256,8.54148395282027,0.634032159554599,13.9388102122707,3.68024119494199e-44,8.45464640668788e-41
"LINC01544",1243.54612584633,8.7538511108158,0.700235877195892,13.7732919338955,3.69007688241872e-43,7.87172472095964e-40
"HIPK1-AS1",1211.30900651122,8.34591095215614,0.627085732629421,13.7389518960844,5.93284388531631e-43,1.18122921756648e-39
"LOC105371497",1432.22480284155,8.48746728398495,0.657937182385107,13.7006920101769,1.0056128842584e-42,1.87703929927357e-39
"LOC105376586",593.382376143387,8.66596573956862,0.648896798353291,13.6622898101369,1.70535652764241e-42,2.99591015870827e-39
"LOC107987122",2077.0402537966,8.11233968876519,0.621761939475219,13.6573318750277,1.82550711463949e-42,3.02882055437268e-39
"LOC105376775",2171.68087672162,8.28834648973261,0.68469937610323,13.6221790364363,2.9561394794838e-42,4.64658450288336e-39
"HBB",36233.384876473,-6.23602157924383,0.463633463848337,-13.5722909549977,5.84656604546636e-42,8.73038474739265e-39
"CCDC113",4030.74384770794,8.14925149629057,0.645138799280081,13.5015016694435,1.5322088801118e-41,2.17901991450185e-38
"NEUROD1",1727.21555214232,8.47495902039779,0.686667357433955,13.4774988960332,2.12178168366408e-41,2.88031863557399e-38
"LOC105372047",3229.29081929234,7.92070379445129,0.719144797171256,13.4466071907315,3.22325590976944e-41,4.18532772805496e-38
"GALR1",1154.72400616365,8.41458656405044,0.653488923258616,13.3684227137731,9.24811555545854e-41,1.15081237943237e-37
"LOC105373699",1985.23693429646,7.96644577630533,0.683161733607159,13.3261844130309,1.63024796065348e-40,1.94749421379664e-37
"LOC105370345",1764.4856066985,7.99797776586253,0.648615053698468,13.3216483574448,1.73239850024148e-40,1.98992620037353e-37
"LOC105374220",1284.89507310463,8.04125935061892,0.658836385776169,13.3175486036665,1.83018739177066e-40,2.02439060945299e-37
"LINC01456",996.516260205792,7.58546795974547,0.58920033877097,13.2706286274306,3.42693822914551e-40,3.65519679333681e-37
"LOC105377124",625.462246885579,7.47408330831227,0.56366934440688,13.2565543739659,4.13460480911902e-40,4.25793009049447e-37
"LOC105373520",2011.31048868535,8.09062266892484,0.723198265712294,13.2078690516341,7.90301771907252e-40,7.8674541393367e-37
"ADH1B",1275.80385760412,8.35868367556072,0.669092714234992,13.1923049094998,9.71682227944545e-40,9.36106120566575e-37
"LINC00376",2314.20818464361,7.92665861287824,0.641327562095581,13.1497681613328,1.70697018324436e-39,1.56748772119065e-36
"HBA1",71689.6196501846,-5.77799462466058,0.440074967432353,-13.1486660692999,1.73203063114989e-39,1.56748772119065e-36
"LOC105374076",1046.55576261673,8.2200340350652,0.661437150887033,13.1270850677807,2.3035402043403e-39,2.02338906478303e-36
"LOC100288866",1217.00355884776,7.68713830047197,0.616632311256811,13.1187291585004,2.57212018487001e-39,2.19475340917551e-36
"HOTS",754.816059149581,7.6428258223531,0.600216381186343,13.115194049959,2.69491557584857e-39,2.23565704646438e-36
"LOC107985961",2279.32617156589,7.90897298637394,0.647157375684399,13.1102403370893,2.87685309442468e-39,2.32208696391873e-36
"LOC105377509",1557.06897091877,7.46843513302203,0.576530762347986,13.0662427167064,5.13393268906639e-39,4.03486578313073e-36
"LINC00887",1412.94477178213,7.92871192114507,0.67437587435627,13.0389092665141,7.35010148506252e-39,5.54484263161152e-36
"NEK5",1180.5493953178,7.54234588027071,0.59497210204664,13.0381203322358,7.42654295209981e-39,5.54484263161152e-36
"LOC107984552",1564.48256925184,8.03145514371916,0.714438562780737,13.0266881065445,8.6271743676548e-39,6.28416006073197e-36
"LOC107984220",3824.78643177111,7.78323304723067,0.631006989465936,13.0104457415778,1.06717778373001e-38,7.58839631216588e-36
"LINC01121",1472.62588293815,7.82737124481213,0.673266818294019,12.9768839160217,1.65476979300671e-38,1.14929534577082e-35
"MBD3L1",531.516563504303,8.29151977243638,0.681309638943718,12.9489244873308,2.38268794296654e-38,1.60576985465275e-35
"NYAP2",1562.52700944083,7.43237078435333,0.580205628002621,12.9477460062775,2.4195427242382e-38,1.60576985465275e-35
"IL11",1608.32075304861,8.00829607767312,0.72614571292686,12.8891670392691,5.1800263640431e-38,3.36307581222059e-35
"GATA4",1485.75014201021,7.99803770124113,0.673189000820723,12.8710381135945,6.5515627156366e-38,4.11316449068138e-35
"LINC00640",1358.44736973281,7.5573935366517,0.608128143450149,12.870342776317,6.61081183836284e-38,4.11316449068138e-35
"ALAS2",1998.62567382682,-5.8712795502083,0.460091314603317,-12.8593066848982,7.62575726818571e-38,4.64782124110951e-35
