"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC36A2",3220.14989720136,11.7626421480703,0.785843370168409,14.968176349887,1.18527010300407e-50,2.58621182696593e-46
"RBMY1A1",4284.38022007594,15.1051076536271,1.01085323575073,14.9429285275117,1.73193492514042e-50,2.58621182696593e-46
"RBMY1D",4450.13676956214,14.9636297072965,1.00741491315437,14.8534923514712,6.60368919321585e-50,6.57397259184637e-46
"LOC107984901",3241.0664176161,12.027943816696,0.818132251631874,14.7017108697336,6.28514422832799e-49,4.69264580947538e-45
"LOC102724542",8535.80631187536,8.32256891499079,0.567262714256037,14.6714541707643,9.82173494842136e-49,5.86652228469208e-45
"MNX1",1023.98973017425,14.096755900597,0.961657126229469,14.6588170732624,1.18316294522499e-48,5.88919355985739e-45
"LINC01428",3627.73686010977,11.4677511073408,0.795355890599001,14.4183896075808,3.96485947665721e-47,1.69157897529097e-43
"CRMP1",2922.75926789599,10.3324457176661,0.722860778973136,14.2938253370779,2.39106277526277e-46,8.92613622290282e-43
"LOC105376219",1702.08385537875,8.87718761100209,0.623807914888322,14.2306427974569,5.91356966745937e-46,1.96231953465194e-42
"PRSS56",2223.02120940723,14.3657915243182,1.0121083060658,14.1939271105876,9.99037238337241e-46,2.98362471229417e-42
"LOC101929705",830.418927150113,8.80296508565489,0.621003270704028,14.1753924672168,1.30113684233325e-45,3.53258652693478e-42
"LINC00840",1402.10676826776,11.5538086244596,0.827121802621859,13.9686906908216,2.42035350970663e-44,6.02365479728237e-41
"MYMX",1195.20198445256,11.4990886343816,0.824969165894711,13.9388102122707,3.68024119494199e-44,8.45464640668788e-41
"LINC01544",1243.54612584633,14.4161083242002,1.04667122379965,13.7732919338955,3.69007688241872e-43,7.87172472095964e-40
"HIPK1-AS1",1211.30900651122,10.5585494313607,0.768512002314377,13.7389518960844,5.93284388531631e-43,1.18122921756648e-39
"LOC105371497",1432.22480284155,12.1265076746606,0.885101837604484,13.7006920101769,1.0056128842584e-42,1.87703929927357e-39
"LOC105376586",593.382376143387,13.3249360857732,0.975307673233997,13.6622898101369,1.70535652764241e-42,2.99591015870827e-39
"LOC107987122",2077.0402537966,10.010914848049,0.733006632602509,13.6573318750277,1.82550711463949e-42,3.02882055437268e-39
"LOC105376775",2171.68087672162,11.9633514607542,0.878225974622334,13.6221790364363,2.9561394794838e-42,4.64658450288336e-39
"HBB",36233.384876473,-6.80549446724709,0.501425624444125,-13.5722909549977,5.84656604546636e-42,8.73038474739265e-39
"CCDC113",4030.74384770794,10.2707506792095,0.760711729011164,13.5015016694435,1.5322088801118e-41,2.17901991450185e-38
"NEUROD1",1727.21555214232,13.7588334779262,1.02087439101745,13.4774988960332,2.12178168366408e-41,2.88031863557399e-38
"LOC105372047",3229.29081929234,12.5181672155409,0.930953588364611,13.4466071907315,3.22325590976944e-41,4.18532772805496e-38
"GALR1",1154.72400616365,12.197349568243,0.912400051180046,13.3684227137731,9.24811555545854e-41,1.15081237943237e-37
"LOC105373699",1985.23693429646,11.4935824975166,0.862481122974534,13.3261844130309,1.63024796065348e-40,1.94749421379664e-37
"LOC105370345",1764.4856066985,10.4521652072092,0.784599992940663,13.3216483574448,1.73239850024148e-40,1.98992620037353e-37
"LOC105374220",1284.89507310463,11.1561559476533,0.837703415220266,13.3175486036665,1.83018739177066e-40,2.02439060945299e-37
"LINC01456",996.516260205792,9.13885669836209,0.688652885626832,13.2706286274306,3.42693822914551e-40,3.65519679333681e-37
"LOC105377124",625.462246885579,8.67507540089623,0.654398960406554,13.2565543739659,4.13460480911902e-40,4.25793009049447e-37
"LOC105373520",2011.31048868535,14.2129524803204,1.0760973193145,13.2078690516341,7.90301771907252e-40,7.8674541393367e-37
"ADH1B",1275.80385760412,12.5757213312044,0.95326187633433,13.1923049094998,9.71682227944545e-40,9.36106120566575e-37
"LINC00376",2314.20818464361,9.99193633077211,0.759856463489117,13.1497681613328,1.70697018324436e-39,1.56748772119065e-36
"HBA1",71689.6196501846,-6.21040164459798,0.472321801456219,-13.1486660692999,1.73203063114989e-39,1.56748772119065e-36
"LOC105374076",1046.55576261673,11.6784514405943,0.889645445298288,13.1270850677807,2.3035402043403e-39,2.02338906478303e-36
