"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBX3",1486.24644015913,-2.76530098157116,0.271842741608316,-10.2043033775658,1.89677370579402e-24,3.03741454071693e-20
"MNX1",1023.98973017425,4.18818723730788,0.498655835855311,10.1896706558713,2.20509967019995e-24,3.03741454071693e-20
"RBMY1A1",4284.38022007594,3.57825496536106,0.511576279743496,10.0674702586053,7.69313667035055e-24,6.61196252482173e-20
"LGALS2",18.7199275940636,-3.54009382649943,0.345895803588738,-10.0456599010004,9.6002940576017e-24,6.61196252482173e-20
"SLC25A39",608.581367331807,-3.39279586297829,0.342633021774188,-9.96906024203224,2.08189310187138e-23,1.14708146126909e-19
"RBMY1D",4450.13676956214,3.53208990535008,0.512105070575857,9.90522210524103,3.95091200817989e-23,1.8140612485558e-19
"FAM210B",477.275342173229,-3.29144570146743,0.344028156433797,-9.62803621733581,6.08818284100779e-22,2.39604784409891e-18
"PRSS56",2223.02120940723,3.57670654750444,0.51101466447167,9.60721598499028,7.45370483926564e-22,2.56677643271162e-18
"DCAF12",3025.4179233403,-3.28824835116764,0.357572860010904,-9.27113478914109,1.84175858294116e-20,5.63762302238288e-17
"HBB",36233.384876473,-3.72397201910442,0.410122348799777,-9.23683444320202,2.53897482784536e-20,6.99462175323119e-17
"SLC36A2",3220.14989720136,3.54541243448299,0.50051880151044,8.8758294014024,6.94141726986896e-19,1.738446403342e-15
"LOC105376586",593.382376143387,3.65126086821046,0.505139343039136,8.85609412970557,8.28669120701884e-19,1.75802936882569e-15
"XIST",452.680866266207,3.3480763388887,0.528501154536459,8.85597022498244,8.2959024990867e-19,1.75802936882569e-15
"NEUROD1",1727.21555214232,3.2423578108484,0.514793714185951,8.66206280239752,4.63302974597818e-18,9.11680974799663e-15
"LOC105373520",2011.31048868535,2.7918802110305,0.523068094084586,8.54459446316612,1.28988419164495e-17,2.16770363101544e-14
"LOC107984901",3241.0664176161,3.34083581759831,0.506132522991785,8.54076057287593,1.33341242415921e-17,2.16770363101544e-14
"ABALON",709.257618165911,-2.85108197514204,0.336299123231847,-8.53163713903129,1.44291031207819e-17,2.16770363101544e-14
"LINC01544",1243.54612584633,2.99579631806205,0.518500249269939,8.52964433726826,1.46798334723735e-17,2.16770363101544e-14
"LOC107984552",1564.48256925184,2.93857701210006,0.521313112858068,8.52753258082069,1.49502228717171e-17,2.16770363101544e-14
"ALAS2",1998.62567382682,-3.3687200727655,0.403974862055368,-8.47872703133647,2.27671128409257e-17,3.13605595827331e-14
"HBD",2561.20696773186,-3.53925022484751,0.426436572137026,-8.44071961948634,3.15389861044356e-17,4.1374644199576e-14
"OR6C74",784.725175833915,3.23472001896766,0.515094415276485,8.39074410591592,4.83074778430304e-17,6.04919412317111e-14
"GALR1",1154.72400616365,3.52033701336756,0.505374406607631,8.36702384497684,5.9091743102519e-17,7.07790622057085e-14
