"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBX3",1486.24644015913,-2.9836393785198,0.292390305160795,-10.2043033775658,1.89677370579402e-24,3.03741454071693e-20
"MNX1",1023.98973017425,9.8031624605364,0.962068627300316,10.1896706558713,2.20509967019995e-24,3.03741454071693e-20
"RBMY1A1",4284.38022007594,10.1782905217441,1.01100775669479,10.0674702586053,7.69313667035055e-24,6.61196252482173e-20
"LGALS2",18.7199275940636,-4.03699069444335,0.401864161660634,-10.0456599010004,9.6002940576017e-24,6.61196252482173e-20
"SLC25A39",608.581367331807,-3.87201403041712,0.388403112872331,-9.96906024203224,2.08189310187138e-23,1.14708146126909e-19
"RBMY1D",4450.13676956214,9.98021248512085,1.00757079236418,9.90522210524103,3.95091200817989e-23,1.8140612485558e-19
"FAM210B",477.275342173229,-3.75974378571807,0.390499547451685,-9.62803621733581,6.08818284100779e-22,2.39604784409891e-18
"PRSS56",2223.02120940723,9.72582959476316,1.01234630406542,9.60721598499028,7.45370483926564e-22,2.56677643271162e-18
"DCAF12",3025.4179233403,-3.80934804428231,0.410882608323638,-9.27113478914109,1.84175858294116e-20,5.63762302238288e-17
"HBB",36233.384876473,-4.62660372359859,0.500886288700736,-9.23683444320202,2.53897482784536e-20,6.99462175323119e-17
"SLC36A2",3220.14989720136,6.97711666581201,0.786080528396547,8.8758294014024,6.94141726986896e-19,1.738446403342e-15
"LOC105376586",593.382376143387,8.6458502975967,0.976259982219062,8.85609412970557,8.28669120701884e-19,1.75802936882569e-15
"XIST",452.680866266207,8.51313902727568,0.961288126653854,8.85597022498244,8.2959024990867e-19,1.75802936882569e-15
"NEUROD1",1727.21555214232,8.84612794663325,1.02124957396808,8.66206280239752,4.63302974597818e-18,9.11680974799663e-15
"LOC105373520",2011.31048868535,9.19764060197203,1.07642798515729,8.54459446316612,1.28988419164495e-17,2.16770363101544e-14
"LOC107984901",3241.0664176161,6.98981808165451,0.818406981674798,8.54076057287593,1.33341242415921e-17,2.16770363101544e-14
"ABALON",709.257618165911,-3.23356136465547,0.379008308951899,-8.53163713903129,1.44291031207819e-17,2.16770363101544e-14
"LINC01544",1243.54612584633,8.93438168684609,1.04745067127939,8.52964433726826,1.46798334723735e-17,2.16770363101544e-14
"LOC107984552",1564.48256925184,9.07891279770115,1.06465882266115,8.52753258082069,1.49502228717171e-17,2.16770363101544e-14
"ALAS2",1998.62567382682,-4.14921144933652,0.48936726397742,-8.47872703133647,2.27671128409257e-17,3.13605595827331e-14
